kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50111;2;2;1;2.0;7;00:00;00:00;00:00;00:00;00:00;00:00;09:50;01:40;00:00;00:30;00:00;04:20;00:50;1.0;1.0;1.0;1.0;1.0
50114;2;1;2;1.0;5;00:00;01:50;00:10;00:00;00:00;00:40;09:30;02:00;00:00;01:00;00:00;01:40;00:00;1.0;1.0;1.0;1.0;1.0
50114;2;2;2;1.0;5;00:00;01:10;00:30;00:00;00:00;01:30;07:00;01:20;00:00;00:10;00:00;01:00;00:00;1.0;1.0;1.0;1.0;1.0
50115;1;1;2;1.0;7;0;60;50;0;0;20;510;80;0;60;0;150;50;1.0;2.0;1.0;2.0;2.0
50115;1;2;2;1.0;7;0;60;30;0;0;20;510;230;0;140;0;50;0;1.0;2.0;1.0;2.0;2.0
50118;1;1;2;1.0;7;0;40;30;0;0;0;620;70;0;150;0;120;0;1.0;1.0;?;1.0;1.0
50118;1;2;2;1.0;7;0;70;40;0;0;?;520;80;0;50;0;130;0;1.0;1.0;1.0;1.0;1.0
50120;1;1;2;2.0;4;0;100;20;90;0;0;590;60;0;0;0;60;10;2.0;2.0;2.0;1.0;2.0
50120;1;2;2;2.0;4;90;70;20;190;0;0;470;10;0;10;0;20;0;2.0;2.0;2.0;1.0;2.0
50127;1;1;2;1.0;4;04:00;00:10;00:00;00:40;01:00;00:30;07:50;01:30;00:00;01:00;00:00;00:10;00:00;2.0;2.0;1.0;1.0;1.0
50127;1;2;2;1.0;4;06:40;00:40;00:20;01:30;01:30;00:30;07:20;02:00;00:00;00:00;00:00;00:00;00:00;2.0;2.0;1.0;1.0;1.0
50128;2;1;2;1.0;7;430;0;0;0;0;20;350;40;0;10;0;70;0;2.0;2.0;2.0;2.0;2.0
50128;2;2;2;1.0;7;0;30;0;0;0;10;520;70;0;30;0;60;20;2.0;2.0;2.0;2.0;2.0
50132;2;1;2;2.0;8;0;100;80;0;0;40;400;130;0;70;30;0;0;2.0;1.0;1.0;2.0;2.0
50132;2;2;2;2.0;8;0;70;40;0;0;?;640;90;0;30;30;180;0;2.0;1.0;1.0;2.0;2.0
50135;1;1;1;1.0;7;0;0;0;0;0;0;440;150;0;0;0;290;0;2.0;2.0;2.0;2.0;2.0
50137;2;1;2;3.0;4;0;0;0;0;0;20;480;50;0;0;0;170;0;1.0;2.0;2.0;2.0;1.0
50137;2;2;2;3.0;4;0;20;0;0;0;10;670;80;0;20;0;180;0;1.0;2.0;2.0;2.0;1.0
50146;2;1;1;2.0;7;440;20;0;0;0;0;430;?;0;0;0;30;0;1.0;1.0;1.0;1.0;1.0
50146;2;2;1;2.0;7;0;30;0;0;0;0;480;70;0;70;0;280;0;1.0;1.0;?;1.0;1.0
50151;1;1;1;1.0;3;630;100;10;0;0;0;310;100;0;0;70;0;0;1.0;2.0;2.0;2.0;2.0
50151;1;2;1;1.0;3;530;20;0;0;0;0;370;60;0;40;0;40;0;1.0;2.0;2.0;2.0;2.0
50157;2;1;1;3.0;6;0;0;0;0;0;60;460;90;0;30;0;80;0;2.0;2.0;2.0;1.0;2.0
50157;2;2;1;3.0;6;0;50;0;0;0;0;740;80;0;70;0;70;30;2.0;2.0;2.0;1.0;2.0
50159;1;1;1;1.0;3;570;30;0;0;0;80;490;20;0;40;0;90;0;1.0;2.0;1.0;1.0;2.0
50159;1;2;1;1.0;3;0;10;0;0;0;10;650;80;0;0;0;180;0;1.0;2.0;1.0;1.0;2.0
50162;2;1;2;2.0;6;0;30;0;0;0;0;630;90;0;30;0;80;0;60.0;0.0;60.0;0.0;180.0
50162;2;2;2;2.0;6;490;?;0;0;0;0;430;80;0;0;0;70;0;0.0;0.0;60.0;0.0;180.0
50182;1;1;2;3.0;8;0;80;40;0;0;0;600;70;0;10;0;160;0;2.0;2.0;2.0;2.0;2.0
50182;1;2;2;3.0;8;0;70;10;0;0;0;500;50;0;0;0;200;50;2.0;2.0;2.0;2.0;2.0
50197;2;1;2;1.0;4;0;0;0;0;0;0;370;70;0;0;0;20;0;1.0;2.0;2.0;1.0;1.0
50197;2;2;2;1.0;4;730;0;0;0;0;0;410;50;0;30;0;0;0;1.0;2.0;2.0;1.0;1.0
50203;1;1;1;3.0;5;580;0;0;0;0;0;500;120;0;10;0;130;0;2.0;2.0;2.0;1.0;1.0
50203;1;2;1;3.0;5;520;0;0;0;0;0;510;120;0;30;0;160;0;2.0;2.0;2.0;1.0;1.0
50207;2;1;1;2.0;9;0;0;0;0;0;0;470;80;0;10;0;80;0;1.0;2.0;2.0;2.0;2.0
50207;2;2;1;2.0;9;0;0;0;?;0;120;550;110;0;40;0;150;0;1.0;2.0;2.0;2.0;2.0
50208;1;1;1;1.0;5;0;10;0;0;0;20;590;10;0;0;90;0;0;2.0;2.0;2.0;1.0;2.0
50208;1;2;1;1.0;5;0;10;0;0;0;20;510;50;0;0;30;0;0;2.0;2.0;2.0;1.0;2.0
50212;2;1;1;1.0;8;0;20;0;0;0;0;70;20;0;130;0;0;10;2.0;1.0;2.0;2.0;2.0
50212;2;2;1;1.0;8;0;30;10;0;0;20;500;60;0;150;40;90;0;2.0;1.0;2.0;2.0;2.0
50213;1;1;2;1.0;6;430;60;40;0;0;30;420;90;0;0;0;20;0;1.0;1.0;2.0;2.0;1.0
50213;1;2;2;1.0;6;0;80;60;0;0;0;540;90;0;0;0;130;0;1.0;1.0;2.0;2.0;1.0
50214;2;1;2;1.0;5;0;0;0;0;0;100;460;180;0;0;0;280;0;1.0;1.0;2.0;1.0;1.0
50214;2;2;2;1.0;5;510;10;10;0;0;0;430;40;0;0;0;100;0;1.0;1.0;2.0;1.0;1.0
50220;2;1;1;1.0;7;0;0;0;0;0;60;570;170;0;50;0;350;0;2.0;2.0;1.0;2.0;1.0
50220;2;2;1;1.0;7;0;0;0;0;0;0;550;90;0;70;0;280;0;2.0;2.0;1.0;2.0;1.0
50238;1;1;2;3.0;9;0;90;20;0;0;0;480;120;0;140;0;270;0;2.0;2.0;2.0;2.0;2.0
50238;1;2;2;3.0;9;0;100;60;0;0;0;600;120;0;30;0;160;0;2.0;2.0;2.0;2.0;2.0
50239;1;1;1;1.0;8;00:00;00:30;00:10;00:00;00:00;?;06:10;01:00;00:00;09:00;00:00;04:30;00:00;2.0;2.0;2.0;1.0;2.0
50239;1;2;1;1.0;8;?;01:10;00:30;00:00;00:00;00:00;04:50;01:10;00:00;09:50;00:00;04:40;00:00;2.0;2.0;2.0;1.0;2.0
50240;1;1;1;1.0;7;0;10;10;0;0;120;510;70;0;0;0;300;0;2.0;2.0;2.0;1.0;2.0
50240;1;2;1;1.0;7;0;0;10;0;0;70;520;50;0;0;0;120;0;2.0;2.0;2.0;1.0;2.0
50242;1;1;1;1.0;7;0;0;50;0;0;40;510;80;0;20;0;90;0;2.0;1.0;2.0;1.0;2.0
50242;1;2;1;1.0;7;0;60;0;0;0;0;470;70;0;40;0;310;0;2.0;1.0;2.0;1.0;2.0
50253;2;1;2;2.0;6;570;10;0;0;0;10;350;60;0;40;0;180;0;1.0;1.0;1.0;1.0;1.0
50253;2;2;2;2.0;6;0;90;0;20;0;0;450;120;0;60;0;60;0;1.0;1.0;1.0;1.0;1.0
50254;1;1;1;1.0;6;0;90;10;0;0;100;480;40;0;110;0;250;0;1.0;2.0;2.0;1.0;2.0
50254;1;2;1;1.0;6;0;90;10;0;0;30;450;60;0;70;0;130;0;1.0;2.0;2.0;1.0;2.0
50258;2;1;1;1.0;7;0;0;0;0;0;40;540;50;0;0;0;210;0;2.0;2.0;2.0;2.0;2.0
50258;2;2;1;1.0;7;0;10;0;0;0;30;470;70;0;30;0;190;0;2.0;2.0;2.0;2.0;2.0
50266;1;1;1;1.0;4;0;10;0;0;0;60;700;70;0;0;0;320;0;1.0;2.0;2.0;1.0;2.0
50266;1;2;1;1.0;4;560;0;0;?;0;10;450;20;0;0;0;0;0;1.0;2.0;2.0;1.0;2.0
50267;1;1;1;2.0;8;0;70;10;0;0;100;390;90;0;0;0;540;0;2.0;1.0;?;1.0;2.0
50267;1;2;1;2.0;8;0;60;0;0;0;120;270;60;0;0;50;280;0;2.0;1.0;2.0;1.0;2.0
50287;1;1;1;3.0;8;0;0;0;0;0;0;430;100;0;70;0;240;0;2.0;2.0;2.0;2.0;2.0
50287;1;2;1;3.0;8;0;0;0;0;0;0;470;?;0;0;0;150;0;2.0;2.0;2.0;2.0;2.0
50291;1;1;2;3.0;7;0;10;0;0;0;60;470;20;0;70;0;250;10;2.0;1.0;2.0;1.0;2.0
50291;1;2;2;3.0;7;0;50;20;0;0;0;450;120;0;50;0;90;0;2.0;1.0;2.0;1.0;2.0
50306;1;1;2;1.0;5;400;50;0;90;30;20;450;80;0;50;0;70;10;2.0;1.0;1.0;1.0;1.0
50306;1;2;2;1.0;5;0;90;20;50;40;20;560;100;0;50;0;60;20;2.0;1.0;1.0;1.0;1.0
50310;1;1;1;1.0;6;0;80;60;0;0;20;480;160;0;50;30;80;0;2.0;1.0;2.0;2.0;2.0
50310;1;2;1;1.0;6;450;30;0;0;0;50;450;110;0;20;10;80;30;2.0;1.0;2.0;2.0;2.0
50311;1;1;2;3.0;8;0;120;40;0;0;0;640;140;0;30;10;110;0;2.0;2.0;1.0;1.0;2.0
50311;1;2;2;3.0;8;0;30;50;0;0;0;520;50;0;110;10;160;0;2.0;2.0;1.0;1.0;2.0
50312;2;1;1;3.0;7;0;10;0;0;0;0;470;40;0;100;30;420;10;2.0;1.0;1.0;1.0;2.0
50312;2;2;1;3.0;7;0;0;0;0;0;0;540;60;0;90;0;360;0;2.0;1.0;1.0;1.0;2.0
50315;1;1;2;1.0;6;0;130;10;0;0;40;520;140;0;50;0;230;0;1.0;1.0;1.0;2.0;1.0
50315;1;2;2;1.0;6;510;50;10;0;0;0;400;80;0;30;0;290;0;1.0;1.0;1.0;2.0;1.0
50316;1;1;2;3.0;3;0;10;0;0;0;240;640;80;0;0;0;260;0;1.0;2.0;2.0;1.0;2.0
50316;1;2;2;3.0;3;0;30;0;0;0;0;670;40;0;30;0;310;0;1.0;2.0;2.0;1.0;2.0
50319;1;1;2;3.0;6;0;70;0;0;0;10;520;90;0;70;0;190;0;0.0;0.0;0.0;0.0;0.0
50319;1;2;2;3.0;6;320;80;20;0;0;0;500;60;0;40;0;50;0;0.0;0.0;0.0;0.0;0.0
50327;2;1;1;2.0;5;70;20;0;0;0;0;630;70;0;0;0;220;0;2.0;2.0;2.0;1.0;1.0
50327;2;2;1;2.0;5;0;0;0;0;110;0;?;70;0;0;0;230;0;2.0;2.0;2.0;1.0;1.0
50330;2;1;1;2.0;7;0;20;0;0;0;60;480;70;0;40;0;40;0;1.0;1.0;1.0;1.0;1.0
50330;2;2;1;2.0;7;0;0;0;0;0;0;420;70;0;30;0;0;0;1.0;1.0;1.0;1.0;1.0
50342;2;1;2;1.0;8;0;40;40;0;0;0;440;120;0;70;0;50;90;1.0;1.0;1.0;1.0;1.0
50342;2;2;2;1.0;8;150;30;0;0;0;180;490;20;0;60;0;200;0;1.0;1.0;1.0;1.0;1.0
50347;2;1;1;3.0;6;0;10;0;0;0;10;840;30;0;0;0;230;0;1.0;2.0;1.0;1.0;1.0
50347;2;2;1;3.0;6;0;90;0;0;0;0;710;160;0;0;0;230;0;1.0;2.0;1.0;1.0;?
50348;1;1;2;1.0;5;0;40;0;0;0;0;610;40;0;0;0;0;20;1.0;2.0;2.0;2.0;1.0
50355;1;1;1;1.0;8;0;130;10;0;0;0;660;90;0;140;130;0;0;2.0;2.0;1.0;2.0;2.0
50355;1;2;1;1.0;8;0;10;10;0;0;0;550;90;0;190;60;0;0;?;2.0;1.0;2.0;2.0
50356;1;1;1;1.0;6;0;20;10;0;0;0;290;60;0;30;0;0;0;1.0;1.0;1.0;1.0;1.0
50356;1;2;1;1.0;6;0;0;20;0;0;0;670;60;0;20;0;280;0;1.0;1.0;1.0;1.0;1.0
50358;1;1;1;3.0;6;0;20;10;0;0;0;860;10;0;60;0;0;0;2.0;1.0;2.0;2.0;2.0
50358;1;2;1;3.0;6;500;0;?;0;0;0;500;0;0;170;0;0;0;2.0;1.0;2.0;2.0;2.0
50363;2;1;2;1.0;4;00:00;01:40;00:40;04:10;01:10;00:10;07:20;01:50;00:00;00:40;00:00;01:20;00:00;1.0;2.0;1.0;1.0;1.0
50363;2;2;2;1.0;4;00:00;00:10;00:00;03:00;01:50;00:00;09:40;01:50;00:00;00:10;00:00;00:00;00:00;1.0;2.0;1.0;1.0;1.0
50366;1;1;2;2.0;6;0;30;40;0;0;70;490;80;0;60;0;100;0;2.0;1.0;2.0;1.0;2.0
50366;1;2;2;2.0;6;0;60;40;0;0;10;510;90;0;0;0;300;0;2.0;1.0;2.0;1.0;2.0
50377;1;1;1;3.0;4;0;30;40;230;0;0;650;90;0;10;20;0;0;2.0;2.0;2.0;1.0;2.0
50377;1;2;1;3.0;4;0;20;30;120;160;0;580;70;0;0;0;0;0;2.0;2.0;2.0;1.0;2.0
50378;1;1;2;1.0;6;540;20;10;0;0;0;480;40;0;0;0;70;0;1.0;2.0;1.0;1.0;2.0
50378;1;2;2;1.0;6;590;70;10;10;0;20;500;70;0;0;0;60;0;1.0;2.0;1.0;1.0;2.0
50382;2;1;1;1.0;6;460;20;10;10;0;20;430;50;0;50;0;190;0;?;?;?;?;?
50382;2;2;1;1.0;6;0;0;0;0;0;60;440;90;0;30;0;180;0;?;?;?;?;?
50383;1;1;1;3.0;4;370;40;0;0;0;0;330;40;0;40;0;100;0;2.0;2.0;2.0;1.0;1.0
50383;1;2;1;3.0;4;0;?;0;60;0;0;690;120;0;0;0;190;0;2.0;2.0;2.0;1.0;1.0
50385;2;1;2;3.0;8;0;40;50;0;0;60;420;130;0;30;0;200;20;2.0;1.0;2.0;2.0;1.0
50385;2;2;2;3.0;8;0;90;50;0;0;0;550;70;0;90;0;150;40;2.0;1.0;2.0;2.0;1.0
50387;1;1;1;3.0;9;0;0;?;0;0;0;650;140;0;80;0;240;0;2.0;2.0;2.0;2.0;2.0
50387;1;2;1;3.0;9;0;0;0;0;0;0;630;90;0;190;0;110;0;2.0;2.0;2.0;2.0;2.0
50390;1;1;1;2.0;6;380;0;0;60;0;40;460;40;0;20;0;160;0;2.0;2.0;1.0;1.0;2.0
50390;1;2;1;2.0;6;0;0;0;30;0;100;610;80;0;0;0;170;0;2.0;2.0;1.0;1.0;2.0
50394;1;1;1;1.0;8;0;0;30;0;0;80;550;110;0;150;0;330;0;2.0;1.0;2.0;2.0;1.0
50394;1;2;1;1.0;8;0;0;0;0;0;0;510;120;0;50;0;210;0;2.0;1.0;2.0;2.0;1.0
50419;1;1;2;1.0;8;0;30;0;0;0;0;720;100;0;?;0;210;0;2.0;1.0;1.0;1.0;2.0
50419;1;2;2;1.0;8;0;30;10;0;0;0;620;130;0;90;0;110;130;2.0;1.0;1.0;1.0;2.0
50425;1;1;2;2.0;7;300;20;0;0;0;20;480;70;0;20;0;130;0;2.0;2.0;2.0;1.0;2.0
50425;1;2;2;2.0;7;0;0;0;0;0;120;600;50;0;0;0;0;0;2.0;2.0;2.0;1.0;2.0
50427;1;1;2;1.0;5;0;80;10;80;70;20;380;90;0;0;0;0;20;2.0;1.0;2.0;1.0;1.0
50427;1;2;2;1.0;5;150;70;10;70;70;0;470;70;0;0;0;0;0;2.0;1.0;2.0;1.0;1.0
50429;2;1;2;3.0;5;00:00;01:50;00:00;03:30;00:00;00:20;07:20;01:00;00:00;00:00;00:00;03:40;00:10;?;1.0;1.0;1.0;1.0
50429;2;2;2;3.0;5;00:00;01:30;00:20;02:50;00:00;00:00;10:50;01:50;00:00;00:00;00:00;03:40;00:00;1.0;1.0;1.0;1.0;1.0
50435;1;1;1;1.0;7;0;30;0;0;0;0;500;70;0;220;0;330;0;2.0;?;2.0;?;2.0
50435;1;2;1;1.0;7;0;80;0;0;0;10;580;180;0;130;0;200;0;2.0;2.0;2.0;1.0;2.0
50437;1;1;2;1.0;4;480;20;0;0;0;0;540;40;0;0;0;150;0;1.0;1.0;2.0;1.0;2.0
50437;1;2;2;1.0;4;0;50;0;0;0;60;670;60;0;0;0;320;0;1.0;1.0;2.0;1.0;2.0
50447;2;1;1;3.0;5;00:00;01:10;01:10;00:00;00:00;00:40;10:10;03:50;00:00;00:50;00:00;04:20;00:00;?;?;?;?;?
50447;2;2;1;3.0;5;08:00;00:30;00:20;00:00;00:00;00:00;08:10;01:10;00:00;01:10;00:00;03:00;00:00;?;?;?;?;?
50450;1;1;2;1.0;4;410;0;0;0;0;?;450;120;0;180;0;120;0;1.0;1.0;2.0;1.0;1.0
50466;1;1;2;2.0;6;00:00;00:20;00:10;00:00;00:00;00:10;09:20;01:50;00:00;02:50;00:00;04:20;00:00;1.0;1.0;1.0;1.0;1.0
50466;1;2;2;2.0;6;00:00;00:10;00:00;00:00;00:00;00:00;10:10;01:10;00:00;00:30;00:00;07:20;00:00;1.0;1.0;1.0;1.0;1.0
50470;2;1;1;3.0;8;0;20;10;0;0;0;520;40;0;?;70;230;0;2.0;1.0;2.0;2.0;2.0
50470;2;2;1;3.0;8;0;0;?;0;0;0;520;110;0;0;160;200;0;2.0;1.0;2.0;2.0;2.0
50478;1;1;1;1.0;6;0;0;0;0;0;170;570;30;0;60;0;100;0;2.0;2.0;1.0;2.0;2.0
50478;1;2;1;1.0;6;0;30;0;0;0;30;640;70;0;30;0;260;0;2.0;2.0;1.0;2.0;2.0
50497;1;1;1;3.0;6;40;0;0;0;0;0;670;60;0;0;0;260;0;2.0;?;2.0;2.0;2.0
50497;1;2;1;3.0;6;430;10;10;0;0;0;450;50;0;0;0;260;0;2.0;2.0;2.0;2.0;2.0
50512;1;1;1;1.0;8;0;10;0;0;0;0;410;40;0;20;0;190;0;1.0;1.0;1.0;1.0;1.0
50512;1;2;1;1.0;8;0;20;40;0;0;30;580;100;0;100;40;150;0;1.0;1.0;1.0;1.0;1.0
50518;1;1;1;3.0;6;490;50;20;0;0;0;610;100;0;0;0;0;0;2.0;1.0;2.0;2.0;2.0
50518;1;2;1;3.0;6;70;20;0;0;70;0;690;90;0;0;0;140;0;2.0;1.0;2.0;2.0;2.0
50520;1;1;2;1.0;7;0;10;0;0;0;30;370;50;0;10;10;140;0;2.0;1.0;2.0;1.0;2.0
50520;1;2;2;1.0;7;0;70;40;0;0;10;610;50;0;0;10;120;0;2.0;1.0;2.0;1.0;2.0
50530;1;1;1;1.0;7;0;30;10;0;0;0;340;60;0;300;0;560;50;0.0;180.0;0.0;0.0;0.0
50530;1;2;1;1.0;7;460;10;0;0;0;20;500;60;0;20;0;170;20;0.0;0.0;0.0;0.0;0.0
50541;1;1;1;3.0;7;0;0;0;0;0;0;560;130;0;10;0;40;0;2.0;2.0;2.0;2.0;1.0
50541;1;2;1;3.0;7;0;60;30;0;0;0;480;60;0;0;0;40;20;2.0;2.0;2.0;2.0;1.0
50543;2;1;1;3.0;5;370;30;0;0;0;0;430;40;0;30;0;210;0;1.0;1.0;1.0;1.0;1.0
50543;2;2;1;3.0;5;0;10;10;0;20;0;480;290;0;90;0;70;0;1.0;1.0;1.0;1.0;1.0
50550;2;1;1;1.0;6;130;80;10;50;30;100;600;60;0;60;0;0;10;0.0;0.0;0.0;0.0;0.0
50550;2;2;1;1.0;6;550;20;0;40;0;30;480;0;0;60;0;70;0;0.0;0.0;0.0;0.0;0.0
50552;1;1;2;1.0;6;0;40;40;0;0;180;540;40;0;70;0;180;0;1.0;2.0;1.0;1.0;1.0
50552;1;2;2;1.0;6;0;70;10;0;0;0;660;50;0;100;0;120;0;1.0;2.0;1.0;1.0;1.0
50555;1;1;1;1.0;6;00:00;00:50;00:00;00:00;00:00;01:00;06:00;00:50;00:00;00:00;00:00;06:50;00:00;2.0;2.0;2.0;2.0;2.0
50555;1;2;1;1.0;6;08:30;00:00;00:00;00:00;00:00;00:00;06:10;01:40;00:00;00:20;00:00;04:00;00:00;2.0;2.0;2.0;2.0;2.0
50560;1;1;2;3.0;3;60;20;10;0;0;0;430;120;350;0;?;10;0;1.0;1.0;2.0;1.0;1.0
50560;1;2;2;3.0;3;0;0;0;0;0;0;720;0;0;0;0;290;0;1.0;1.0;2.0;1.0;1.0
50563;2;1;1;1.0;9;0;10;?;0;0;80;630;70;0;70;0;230;0;?;?;?;?;?
50563;2;2;1;1.0;9;0;20;0;0;0;0;600;100;0;30;0;0;0;?;?;?;?;?
50569;1;1;1;1.0;7;0;0;0;0;0;0;650;50;0;80;0;260;0;1.0;1.0;2.0;1.0;2.0
50569;1;2;1;1.0;7;0;0;0;0;0;0;620;40;0;150;0;450;0;1.0;1.0;2.0;1.0;2.0
50584;2;1;2;1.0;5;530;50;30;0;0;0;520;50;0;0;0;100;0;2.0;1.0;1.0;1.0;1.0
50584;2;2;2;1.0;5;60;40;60;0;0;0;650;20;0;20;0;240;0;2.0;1.0;1.0;1.0;1.0
50590;2;1;1;1.0;9;0;10;10;0;0;80;250;100;0;240;0;480;50;1.0;1.0;2.0;1.0;1.0
50590;2;2;1;1.0;9;0;0;0;0;0;0;390;100;0;60;0;140;0;1.0;1.0;2.0;1.0;1.0
50591;2;1;1;1.0;6;760;0;10;0;0;0;410;50;0;30;0;0;10;2.0;1.0;1.0;1.0;2.0
50591;2;2;1;1.0;6;0;80;0;0;0;100;440;70;0;30;90;180;0;2.0;1.0;1.0;1.0;2.0
50597;1;1;1;1.0;5;430;10;10;0;0;0;400;100;0;0;0;170;0;1.0;1.0;1.0;1.0;1.0
50597;1;2;1;1.0;5;0;10;10;0;0;0;690;30;0;20;0;60;40;1.0;1.0;1.0;1.0;1.0
50600;1;1;2;2.0;6;460;10;30;0;0;0;460;50;0;90;0;90;50;1.0;1.0;2.0;1.0;2.0
50600;1;2;2;2.0;6;0;50;10;0;0;60;590;70;0;180;0;120;20;1.0;1.0;2.0;1.0;2.0
50602;2;1;2;1.0;9;0;100;70;0;0;0;450;100;0;100;50;90;20;2.0;2.0;2.0;2.0;2.0
50602;2;2;2;1.0;9;0;110;70;0;0;50;420;100;0;110;0;90;0;2.0;2.0;2.0;2.0;2.0
